id,exp_id,smiles,original_smiles
13463387,1,CO[*:2],[H]C([H])([H])OC(=O)C([H])([H])C([H])([H])Sc1nc2sc3c(c2c(=O)n1C([H])([H])[H])C([H])([H])C([H])([H])C3([H])[H]
386641,1,Fc1cc(Cl)ccc1N[*:2],[H]C([H])=C([H])C([H])([H])n1c(SC([H])([H])C(=O)N([H])c2c([H])c([H])c(Cl)c([H])c2F)nnc1-c1oc([H])c([H])c1[H]
3217421,1,c1csc(-c2ocnc2[*:2])c1,[H]c1nc(C(=O)N([H])C([H])([H])C([H])([H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c(-c2sc([H])c([H])c2[H])o1
11956053,1,Cc1ccc(N[*:2])cc1,[H]C([H])=C([H])C([H])([H])n1c(SC([H])([H])C(=O)N([H])c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])nnc1C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
12328100,1,c1csc([*:2])c1,[H]c1sc(-c2c([H])c([H])c(C(=O)N([H])C([H])([H])C([H])([H])c3c([H])c([H])c([H])c(C([H])([H])[H])c3[H])c(=O)n2[H])c([H])c1[H]
12472440,1,CCN(CCC#N)[*:2],[H]C([H])(Sc1nc2sc3c(c2c(=O)n1C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C(=O)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C#N
361734,1,Fc1cccc(N[*:2])c1,[H]c1oc(C([H])([H])[H])c(-c2nnc(SC([H])([H])C(=O)N([H])c3c([H])c([H])c([H])c(F)c3[H])n2C([H])([H])C([H])([H])[H])c1[H]
369185,1,c1ccc([*:2])cc1,[H]c1snnc1C(=O)N(c1c([H])c([H])c([H])c([H])c1[H])[C@@]([H])(C(=O)N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])c1c([H])c([H])c([H])c([H])c1OC([H])([H])[H]
1091038,1,CCc1ccc([*:2])cc1,[H]Oc1nc(SC([H])([H])C(=O)c2c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c2[H])nc2c([H])c([H])c([H])c([H])c12
1140460,1,Fc1ccc([*:2])cc1,[H]c1c([H])c([H])c(OC([H])([H])C([H])([H])[H])c(OC([H])([H])c2nn3c(-c4c([H])c([H])c(F)c([H])c4[H])nnc3s2)c1[H]
1149092,1,Cc1nnc(N[*:2])s1,[H]C([H])=C([H])C([H])([H])n1c(SC([H])([H])C(=O)N([H])c2nnc(C([H])([H])[H])s2)nnc1-c1c([H])c([H])c([H])c([H])c1[H]
11917975,1,C[C@H]1CCCC[C@@H]1N[*:2],[H]c1oc(-c2nnc(SC([H])([H])C(=O)N([H])[C@@]3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C([H])([H])[H])n2C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H]
12351285,1,c1cc2c(cc1[*:2])OCCO2,[H]c1c([H])c(C(=O)C([H])([H])Sc2nc3c([H])c([H])c([H])c([H])c3c(C([H])([H])[H])c2[H])c([H])c2c1OC([H])([H])C([H])([H])O2
13355087,1,Cc1ccccc1N[*:2],[H]c1c([H])c([H])c(C([H])([H])[H])c(N([H])C(=O)C([H])([H])Sc2nnc(C([H])([H])[H])n2C2([H])C([H])([H])C2([H])[H])c1[H]
13566357,1,c1coc(CCN[*:2])c1,[H]c1oc(C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])n2c(=O)n(C([H])([H])C([H])([H])[H])c(=O)c3c([H])c([H])c([H])c([H])c32)c([H])c1[H]
363316,1,Clc1ccccc1N[*:2],[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])Sc2nnc(C3([H])C([H])([H])C3([H])[H])n2C([H])([H])C([H])([H])[H])c(Cl)c1[H]
2481265,1,CCO[*:2],[H]c1oc(C([H])([H])n2c(=O)c3c([H])c([H])c([H])c([H])c3n(C([H])([H])C(=O)N([H])c3c([H])c([H])c([H])c([H])c3C(=O)OC([H])([H])C([H])([H])[H])c2=O)c([H])c1[H]
6017627,1,C=CCNC(=O)CO[*:2],[H]C([H])=C([H])C([H])([H])N([H])C(=O)C([H])([H])OC(=O)c1c([H])c([H])c([H])c([H])c1C(=O)N(C([H])([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
13189233,1,C1=C(N(C2CC2)[*:2])CCCC1,[H]C1=C(N(C(=O)C([H])([H])Sc2nnc(-c3c(C([H])([H])[H])oc([H])c3[H])n2C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C2([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
577640,1,c1cc2c(cc1CN[*:2])OCO2,[H]c1c([H])c(C([H])([H])N([H])C(=O)C([H])([H])Sc2nc3c([H])c([H])c([H])c([H])c3c(C([H])([H])[H])c2[H])c([H])c2c1OC([H])([H])O2
1040517,1,CCc1nnc(N[*:2])s1,[H]c1c([H])c([H])c(-c2nnc(SC([H])([H])C(=O)N([H])c3nnc(C([H])([H])C([H])([H])[H])s3)n2C([H])([H])C([H])([H])[H])c([H])c1[H]
2441863,1,Fc1cccc([*:2])c1,[H]c1c([H])c([H])c(OC([H])([H])C([H])([H])[H])c(OC([H])([H])c2nn3c(-c4c([H])c([H])c([H])c(F)c4[H])nnc3s2)c1[H]
2934191,1,COc1cccc(C(=O)N(C)CC[*:2])c1,[H]c1c([H])c(OC([H])([H])[H])c([H])c(C(=O)N(C([H])([H])[H])C([H])([H])C([H])([H])c2noc(C([H])([H])Oc3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])n2)c1[H]
3292635,1,Cc1ccc(N[*:2])c(C)c1,[H]C([H])=C([H])C([H])([H])n1c(=O)c2c([H])c([H])c([H])c([H])c2n(C([H])([H])C(=O)N([H])c2c([H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c1=O
13355724,1,Cc1ccccc1[C@@H](C)N[*:2],[H]c1c([H])c([H])c([C@]([H])(N([H])C(=O)C([H])([H])Sc2nnc(C3([H])C([H])([H])C3([H])[H])n2C([H])([H])C([H])([H])[H])C([H])([H])[H])c(C([H])([H])[H])c1[H]
14270264,1,C[C@](O)(CN[*:2])c1cccs1,[H]O[C@@](c1sc([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])N([H])C(=O)c1nc([H])oc1-c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H]
366776,1,COCC[*:2],[H]c1snnc1C(=O)N(C([H])([H])C([H])([H])OC([H])([H])[H])[C@@]([H])(C(=O)N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])c1c([H])c([H])c([H])c([H])c1[H]
385977,1,Cc1ccccc1C(=O)N(C[*:2])C(C)C,[H]c1c([H])c([H])c(C([H])([H])[H])c(C(=O)N(C([H])([H])c2nc(-c3c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c3[H])no2)C([H])(C([H])([H])[H])C([H])([H])[H])c1[H]
2955197,1,C1CC1N[*:2],[H]N(C(=O)C([H])([H])C([H])([H])c1nc2sc3c(c2c(=O)n1[H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[H])C3([H])[H])C1([H])C([H])([H])C1([H])[H]
13800996,1,Cc1cccc(N[*:2])c1C,[H]c1c([H])c(N([H])C(=O)C([H])([H])Sc2nnc(N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])n2C2([H])C([H])([H])C2([H])[H])c(C([H])([H])[H])c(C([H])([H])[H])c1[H]
1862386,1,c1csc(C[*:2])c1,[H]c1sc(C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])c2c([H])c3c([H])c([H])c(C([H])([H])[H])c([H])c3n([H])c2=O)c([H])c1[H]
3248712,1,C1CO[C@@H](CN[*:2])C1,[H]c1sc(N([H])C([H])([H])[C@]2([H])OC([H])([H])C([H])([H])C2([H])[H])nc1-c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([H])C([H])([H])N2C(=O)C([H])(C([H])([H])[H])C([H])([H])[H]
4129876,1,CC(C)c1nnc(N[*:2])s1,[H]N(C(=O)C([H])([H])Sc1nnc(C([H])([H])C([H])([H])[H])n1C1([H])C([H])([H])C1([H])[H])c1nnc(C([H])(C([H])([H])[H])C([H])([H])[H])s1
12112887,1,Cc1cc(C)cc(N(CCC#N)[*:2])c1,[H]c1c(N(C(=O)C([H])([H])Sc2nnc(C([H])([H])[H])n2C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C#N)c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H]
12578018,1,C1CC1CN[*:2],[H]c1oc(-c2nnc(SC([H])([H])C(=O)N([H])C([H])([H])C3([H])C([H])([H])C3([H])[H])n2C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H]
12912867,1,CCOc1ccc(OC[*:2])cc1,[H]c1c([H])c([H])c(-c2noc(C([H])([H])OC(=O)C([H])([H])Oc3c([H])c([H])c(OC([H])([H])C([H])([H])[H])c([H])c3[H])n2)c(OC([H])([H])[H])c1[H]
384652,1,CCOc1ccccc1[*:2],[H]c1c([H])c([H])c(-c2nn3c(-c4c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c4[H])nnc3s2)c(OC([H])([H])C([H])([H])[H])c1[H]
724853,1,O=C(NC[*:2])c1cccc(Cl)c1,[H]c1c([H])c(Cl)c([H])c(C(=O)N([H])C([H])([H])c2nc(-c3c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c3[H])no2)c1[H]
1040884,1,COc1ccccc1N[*:2],[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])Sc2nnc(C3([H])C([H])([H])C3([H])[H])n2C([H])([H])C([H])([H])[H])c(OC([H])([H])[H])c1[H]
12793195,1,Cc1ccc(CCCN[*:2])c(C)c1,[H]Sc1nnc(C([H])([H])C([H])([H])C([H])([H])[H])n1C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])c1c([H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H]
13682347,1,O=C(OC[*:2])C1CCC1,[H]c1sc(-c2c([H])c([H])c(C(=O)N([H])[H])c([H])c2[H])nc1C([H])([H])OC(=O)C1([H])C([H])([H])C([H])([H])C1([H])[H]
14601071,1,C[C@@H](N[*:2])c1csnn1,[H]c1snnc1[C@]([H])(N([H])C(=O)N([H])C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1C([H])([H])[H])C([H])([H])[H]
2792828,1,O=C1C[C@H]([*:2])n2c(nc3ccccc32)N1,[H]c1c(OC([H])([H])[H])c([H])c(N([H])C(=O)[C@]2([H])n3c(nc4c([H])c([H])c([H])c([H])c43)N([H])C(=O)C2([H])[H])c([H])c1OC([H])([H])[H]
12967567,1,CC[C@@H](CN[*:2])c1ccccc1,[H]c1oc(C([H])([H])[H])c(-c2nnc(SC([H])([H])C(=O)N([H])C([H])([H])[C@@]([H])(c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C([H])([H])[H])n2-c2c([H])c([H])c([H])c([H])c2[H])c1[H]
1157184,1,O=C(N[*:2])C1CC1,[H]c1sc(N([H])C(=O)C2([H])C([H])([H])C2([H])[H])nc1-c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([H])N2C(=O)C1([H])C([H])([H])C1([H])[H]
3006263,1,c1ccc(CN[*:2])cc1,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])Oc2c([H])c([H])c([H])c([H])c2-c2noc(C([H])([H])Oc3c([H])c([H])c(Cl)c([H])c3[H])n2)c([H])c1[H]
3296598,1,COc1cccc([*:2])c1,[H]c1c([H])c(OC([H])([H])[H])c([H])c(C(=O)OC([H])([H])C(=O)N([H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2OC([H])([H])[H])c1[H]
4834714,1,C[C@H]1CCCC[C@@H]1[*:2],[H]c1snnc1C(=O)N(C([H])([H])C(=O)N([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]1([H])C([H])([H])[H]
6109866,1,C=CC[*:2],[H]C([H])=C([H])C([H])([H])N(C(=O)c1nnsc1[H])[C@@]([H])(C(=O)N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])c1c([H])c([H])c(Cl)c([H])c1[H]
13355086,1,CC(=O)c1cccc(N[*:2])c1,[H]c1c([H])c(C(=O)C([H])([H])[H])c([H])c(N([H])C(=O)C([H])([H])Sc2nnc(C([H])([H])[H])n2C2([H])C([H])([H])C2([H])[H])c1[H]
13827836,1,c1cc2c(s1)CCN([*:2])C2,[H]c1sc2c(c1[H])C([H])([H])N(C(=O)C([H])([H])Sc1nnnn1-c1c([H])c([H])c([H])c([H])c1C([H])([H])[H])C([H])([H])C2([H])[H]
13844881,1,c1ccc2c(c1)CCO[C@@H]2C[*:2],[H]Sc1nnc(C2([H])C([H])([H])C2([H])[H])n1C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])[C@@]1([H])OC([H])([H])C([H])([H])c2c([H])c([H])c([H])c([H])c21
2787806,1,Cc1cccc(OC[*:2])c1,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])Oc2c([H])c([H])c([H])c(-c3noc(C([H])([H])Oc4c([H])c([H])c([H])c(C([H])([H])[H])c4[H])n3)c2[H])c([H])c1[H]
11944705,1,c1ccc(N(C2CCCCC2)[*:2])cc1,[H]C([H])=C([H])C([H])([H])n1c(SC([H])([H])C(=O)N(c2c([H])c([H])c([H])c([H])c2[H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])nnc1-c1c(C([H])([H])[H])oc([H])c1[H]
