id,exp_id,smiles,original_smiles
12754677,1,NS(=O)(=O)[*:1],[H]c1c([H])c(C([H])([H])N2C(=O)C([H])([H])[C@@]([H])(N([H])c3c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c3[H])C2=O)c([H])c([H])c1Cl
359694,1,N#C[*:1],[H]c1c2c(c([H])c3c([H])c(C#N)c(SC([H])([H])C(=O)N4C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])nc13)OC([H])([H])C([H])([H])O2
11956053,1,C=CC[*:1],[H]C([H])=C([H])C([H])([H])n1c(SC([H])([H])C(=O)N([H])c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])nnc1C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
369185,1,COc1ccccc1[*:1],[H]c1snnc1C(=O)N(c1c([H])c([H])c([H])c([H])c1[H])[C@@]([H])(C(=O)N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])c1c([H])c([H])c([H])c([H])c1OC([H])([H])[H]
1091038,1,O[*:1],[H]Oc1nc(SC([H])([H])C(=O)c2c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c2[H])nc2c([H])c([H])c([H])c([H])c12
1140460,1,CCO[*:1],[H]c1c([H])c([H])c(OC([H])([H])C([H])([H])[H])c(OC([H])([H])c2nn3c(-c4c([H])c([H])c(F)c([H])c4[H])nnc3s2)c1[H]
13355087,1,C1CC1[*:1],[H]c1c([H])c([H])c(C([H])([H])[H])c(N([H])C(=O)C([H])([H])Sc2nnc(C([H])([H])[H])n2C2([H])C([H])([H])C2([H])[H])c1[H]
13189233,1,c1ccc(C[*:1])cc1,[H]C1=C(N(C(=O)C([H])([H])Sc2nnc(-c3c(C([H])([H])[H])oc([H])c3[H])n2C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C2([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
3248712,1,CC(C)C(=O)[*:1],[H]c1sc(N([H])C([H])([H])[C@]2([H])OC([H])([H])C([H])([H])C2([H])[H])nc1-c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([H])C([H])([H])N2C(=O)C([H])(C([H])([H])[H])C([H])([H])[H]
12112887,1,C1CCC([*:1])CC1,[H]c1c(N(C(=O)C([H])([H])Sc2nnc(C([H])([H])[H])n2C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C#N)c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H]
366550,1,Cc1ccc([*:1])cc1,[H]c1snnc1C(=O)N(c1c([H])c([H])c(F)c([H])c1[H])[C@@]([H])(C(=O)N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H]
12793195,1,S[*:1],[H]Sc1nnc(C([H])([H])C([H])([H])C([H])([H])[H])n1C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])c1c([H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H]
